Coordinates,Label
"8.478252410888672,11.492744445800781",Unlabelled
"1.593649983406067,6.950397491455078",Unlabelled
"6.489827632904053,7.741474151611328",Unlabelled
"9.885876655578613,6.361893653869629",Unlabelled
"7.2947096824646,13.073631286621094",Unlabelled
"1.5880974531173706,11.690529823303223",Unlabelled
"-1.5577400922775269,6.741112232208252",Unlabelled
"6.364772796630859,8.201443672180176",Unlabelled
"1.7362102270126343,13.23067569732666",Unlabelled
"2.3735575675964355,10.515796661376953",Unlabelled
"5.920098304748535,6.056025981903076",Unlabelled
"5.255781650543213,6.543727397918701",Unlabelled
"6.587926864624023,7.5594611167907715",Unlabelled
"5.36956787109375,9.718832015991211",Unlabelled
"8.925514221191406,12.1462984085083",Unlabelled
"8.925863265991211,11.385833740234375",Unlabelled
"8.667292594909668,11.842265129089355",Unlabelled
"1.794213056564331,13.604423522949219",Unlabelled
"7.710137844085693,12.308074951171875",Unlabelled
"5.948760032653809,6.760343074798584",Unlabelled
"7.471899509429932,12.879307746887207",Unlabelled
"-2.096907377243042,5.727405071258545",Unlabelled
"2.2160024642944336,8.152905464172363",Unlabelled
"8.666025161743164,12.125622749328613",Unlabelled
"1.4010848999023438,6.982161521911621",Unlabelled
"5.945072650909424,7.333553791046143",Unlabelled
"7.8842573165893555,12.969290733337402",Unlabelled
"5.969392776489258,11.9578275680542",Unlabelled
"1.9370033740997314,11.60776424407959",Unlabelled
"3.3738694190979004,13.888529777526855",Unlabelled
"2.3278110027313232,5.906830310821533",Unlabelled
"3.6753718852996826,5.23142671585083",Unlabelled
"7.66074275970459,10.58365535736084",Unlabelled
"4.032264232635498,9.3360013961792",Unlabelled
"0.4598521888256073,11.332054138183594",Unlabelled
